Tx 0.0029 1 1 0 12 
Tx 0.0029 1 2 0 12 
Rx 0.00311032 1 1 0 12 210319
Rx 0.00311448 1 2 0 12 214479
Tx 0.0036 1 2 1 2 
Tx 0.0036 1 2 1 36 
Rx 0.00391032 1 2 1 36 0
Rx 0.00401032 1 2 1 36 0
Rx 0.00411032 1 2 1 36 0
Rx 0.00421032 1 2 1 36 0
Rx 0.00431032 1 2 1 36 0
Rx 0.00441032 1 2 1 36 0
Rx 0.00451032 1 2 1 36 0
Rx 0.00461032 1 2 1 36 0
Rx 0.00471032 1 2 1 36 0
Rx 0.00481032 1 2 1 36 0
Rx 0.00491032 1 2 1 36 0
Rx 0.00501032 1 2 1 36 0
Rx 0.00511032 1 2 1 36 0
Rx 0.00521032 1 2 1 36 0
Rx 0.00531032 1 2 1 36 0
Rx 0.00541032 1 2 1 36 0
Rx 0.00551032 1 2 1 36 0
Rx 0.00561032 1 2 1 36 0
Rx 0.00571032 1 2 1 36 0
Rx 0.00581032 1 2 1 36 0
Rx 0.00591032 1 2 1 36 0
Rx 0.00601032 1 2 1 36 0
Rx 0.00611032 1 2 1 36 0
Rx 0.00621032 1 2 1 36 0
Rx 0.00631032 1 2 1 36 0
Rx 0.00641032 1 2 1 36 0
Rx 0.00651032 1 2 1 36 0
Rx 0.00661032 1 2 1 36 0
Rx 0.00671032 1 2 1 36 0
Rx 0.00681032 1 2 1 36 0
Rx 0.00691032 1 2 1 36 0
Rx 0.00701032 1 2 1 36 0
Rx 0.00711032 1 2 1 36 0
Rx 0.00721032 1 2 1 36 0
Rx 0.00731032 1 2 1 36 0
Rx 0.00741032 1 2 1 36 0
Rx 0.00751032 1 2 1 36 0
Rx 0.00761032 1 2 1 36 0
Rx 0.00771032 1 2 1 36 0
Rx 0.00781032 1 2 1 36 0
Rx 0.00791032 1 2 1 36 0
Rx 0.00801032 1 2 1 36 0
Rx 0.00811032 1 2 1 36 0
Rx 0.00821032 1 2 1 36 0
Rx 0.00831032 1 2 1 36 0
Rx 0.00841032 1 2 1 36 0
Rx 0.00851032 1 2 1 36 0
Rx 0.00861032 1 2 1 36 0
Rx 0.00871032 1 2 1 36 0
Rx 0.00881032 1 2 1 36 0
Rx 0.00891032 1 2 1 36 0
Rx 0.00901032 1 2 1 36 0
Rx 0.00911032 1 2 1 36 0
Rx 0.00921032 1 2 1 36 0
Rx 0.00931032 1 2 1 36 0
Rx 0.00941032 1 2 1 36 0
Rx 0.00951032 1 2 1 36 0
Rx 0.00961032 1 2 1 36 0
