	time	frame	subF	1stSym	symbol#	cellId	rnti	ccId	tbSize	mcs	rv	SINR(dB)	corrupt	TBler
DL	0.00310832	3	1	1	1	1	1	0	48	0	0	-5.51507	 	0	0.0016056
DL	0.00311248	3	1	2	1	1	2	0	48	0	0	54.1239	 	0	0
UL	0.00350832	3	5	1	1	1	1	0	48	0	0	-5.32499 	0	0.000622549
UL	0.00351248	3	5	2	1	1	2	0	48	0	0	54.1239 	0	0
DL	0.00380832	3	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00390832	3	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00400832	4	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00410832	4	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00420832	4	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00430832	4	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00440832	4	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00450832	4	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00460832	4	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00470832	4	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00480832	4	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00490832	4	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00500832	5	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00510832	5	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00520832	5	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00530832	5	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00540832	5	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00550832	5	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00560832	5	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00570832	5	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00580832	5	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00590832	5	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00600832	6	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00610832	6	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00620832	6	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00630832	6	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00640832	6	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00650832	6	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00660832	6	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00670832	6	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00680832	6	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00690832	6	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00700832	7	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00710832	7	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00720832	7	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00730832	7	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00740832	7	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00750832	7	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00760832	7	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00770832	7	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00780832	7	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00790832	7	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00800832	8	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00810832	8	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00820832	8	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00830832	8	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00840832	8	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00850832	8	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00860832	8	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00870832	8	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00880832	8	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00890832	8	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00900832	9	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00910832	9	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00920832	9	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00930832	9	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00940832	9	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00950832	9	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00960832	9	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00970832	9	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00980832	9	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.00990832	9	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0100083	10	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0101083	10	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0102083	10	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0103083	10	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0104083	10	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0105083	10	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0106083	10	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0107083	10	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0108083	10	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0109083	10	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0110083	11	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0111083	11	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0112083	11	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0113083	11	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0114083	11	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0115083	11	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0116083	11	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0117083	11	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0118083	11	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0119083	11	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0120083	12	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0121083	12	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0122083	12	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0123083	12	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0124083	12	4	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0125083	12	5	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0126083	12	6	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0127083	12	7	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0128083	12	8	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0129083	12	9	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0130083	13	0	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0131083	13	1	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0132083	13	2	1	1	1	2	0	1776	28	0	54.1239	 	0	0
DL	0.0133083	13	3	1	1	1	2	0	1776	28	0	54.1239	 	0	0
