Run;ClientID_10_90;X_10_90;Y_10_90;Timestamp_10_90;ClientID_90_10;X_90_10;Y_90_10;Timestamp_90_10
1;133;261.66;423.123;2.576;133;899.65;348.07;2.52
2;121;231.076;436.922;2.742;121;908.961;378.941;2.529
3;103;991.78;792.8;2.613;103;770.694;1071.125;2.516
4;108;466.58;486.48;2.519;108;770.443;1070.191;2.566
5;102;713.274;890.132;2.581;102;883.733;374.591;2.527
6;133;252.532;431.672;2.705;133;900.406;360.609;2.619
7;106;735.47;508.01;2.518;106;781.004;1102.504;2.516
8;105;1169.66;515.56;2.517;105;904.16;367.805;2.516
9;109;241.25;432.091;2.582;109;899.65;348.07;2.519
10;106;735.47;508.01;2.519;106;770.545;1067.897;2.511
11;102;718.22;888.52;2.54;102;907.295;373.337;2.55
12;103;991.78;792.8;2.777;103;770.79;1071.498;2.502
13;121;222.25;435.704;2.604;121;904.358;368.892;2.507
14;105;1169.66;515.56;2.518;105;887.202;374.32;2.538
15;106;772.946;495.585;2.52;106;781.67;1104.81;2.529
16;118;0.0;0.0;0.0;118;768.681;1065.049;2.53
17;118;1209.003;517.134;2.507;118;781.67;1104.81;2.503
18;107;916.01;453.47;2.519;107;884.255;380.899;2.518
19;143;1210.31;517.19;2.651;143;781.67;1104.81;2.542
20;109;227.69;433.2;2.723;109;903.178;359.614;2.553
21;102;713.406;890.09;2.553;102;883.838;374.427;2.511
22;143;1210.31;517.19;2.637;143;781.67;1104.81;2.534
23;107;659.217;536.678;2.54;107;900.223;360.053;2.55
24;121;223.698;435.906;2.547;121;907.128;372.799;2.533
25;103;957.431;804.113;2.595;103;781.67;1104.81;2.542
26;107;688.648;526.902;2.538;107;904.602;371.888;2.56
27;108;499.086;496.404;2.518;108;779.491;1098.108;2.504
28;143;1210.31;517.19;2.517;143;781.67;1104.81;2.558
29;133;220.77;435.47;2.67;133;899.65;348.07;2.505
30;105;0.0;0.0;0.0;105;899.65;348.07;2.527
