scenario;run;clientId;timestamp;numberOfNeighbors
90/10;1;110;67;13
90/10;2;90;62;11
90/10;3;103;54;20
90/10;4;65;76;15
90/10;5;8;80;14
90/10;6;111;77;14
90/10;7;46;26;22
90/10;8;27;61;9
90/10;9;128;2;16
90/10;10;45;44;16
90/10;11;14;50;3
90/10;12;41;56;15
90/10;13;86;75;13
90/10;14;33;78;11
90/10;15;47;4;19
90/10;16;122;64;23
90/10;17;80;23;12
90/10;18;97;78;15
90/10;19;57;57;10
90/10;20;117;61;19
90/10;21;71;80;11
90/10;22;6;34;18
90/10;23;125;19;14
90/10;24;51;63;6
90/10;25;94;6;16
90/10;26;98;21;8
90/10;27;50;22;12
90/10;28;63;33;10
90/10;29;125;3;18
90/10;30;105;1;10
90/10;31;25;62;12
90/10;32;75;61;14
90/10;33;100;55;14
90/10;34;86;67;16
90/10;35;57;58;9
90/10;36;21;2;16
90/10;37;70;45;19
90/10;38;41;67;7
90/10;39;99;20;11
90/10;40;44;34;18
90/10;41;53;29;17
90/10;42;69;75;17
90/10;43;82;68;11
90/10;44;38;55;13
90/10;45;100;20;9
90/10;46;11;40;13
90/10;47;132;62;14
90/10;48;84;73;6
90/10;49;88;64;14
90/10;50;12;56;14
